PK_LOCALIDADE;region_name;region_code;city;country;state;zip_code
4c11cae3b0e4fd0edd971880c5798fead213e2ea21d5624fe00eb52b9aa82a54;Central;4;Aurora;US;IL;60507-2060
938932257ff706742a043647c1536ca1d7b4129b69586e3347467c2aa7c9e618;Central;4;Eagan;US;MN;55121
ef040198bc33629b45fe4e1b4066390c02828cb646293f79390b0df711e877c7;Central;4;Poplar Bluff;US;MO;63901
c1a368207356c7f9f9faac0180e2b300bfd212a87bd70e3a77174eac4a4477e3;Southern;2;Savannah;US;GA;31403
c061586abc66016ee23547d32aebd6685d2175a727b437f7b337b78af7985ae2;Southern;2;Beaumont;US;TX;77704
801a40347ba3651a648c4e6b466a8a8cbcf75ac76437fa6e22a710bb3aceda3a;Western;1;Beaverton;US;OR;97008
f0d9357044a98d924fcaef47ae896b4128ae4d983467f540f2c3e172b700ca88;Western;1;Sacramento;US;CA;95821
62459dc6775d6b166d9ad0320cd52b473d6a2f6c9a6d3dbd9233f282cf1bedd0;Central;4;Grand Rapids;US;MI;49508
cf0521382c9f2d1d2a1cc3ce793f7d1572ece0188c4e9675a367baf91fc654c4;Southern;2;Okolona;US;MS;38860
2e9f1278dab61f807ed38df69b1ce4c6419c09d47ebb6013743959b8b0d7ecc5;Southern;2;Dallas;US;TX;75238
aa9d79d60d1e3a522f90b5587e3bac6737d3fb5d1a52f67b4a2ec91ab202b07c;Canada;0;Valcourt;CA;QU;J0E 2L0
51c4775c080d5e8a3d9c2d10156d541434a8aaeab9fc5c828cbe4ea33e34d2dd;Western;1;Hillsboro;US;OR;97123
525b8b1d864a21c3ded6f0afa15f50ef6f65dcf5c8136c4c8a923e1dae58f7ec;International;5;00-394 Warsaw;UK;Não informado;0
0d5581479d82a4b31997453a49e788f9033bb764fbbde39dfecbb76a3b767ca3;Western;1;Casper;US;WY;82604
2befd1778b6cca560a20c4e23ee8fddf67d41dd4e03cad9ff527ebabd93c94ad;Western;1;Milwaukie;US;OR;97222
469a56f35b9106e350164557713c238963762e9debecb6cbf14601547fc85590;Central;4;Joliet;US;IL;60435
5ae58a8659162d31ccdf7b70ddf5497e35647ba2c3853b2dbcb9c03438cc48ba;Central;4;Overland Park;US;KS;66282-2990
99e8632f00d9ae45b05edee5095acb2dcd68ad100980a942bd1b49d02ef9fba8;Western;1;Prineville;US;OR;97754
adee934516c65f70e0b23cbb8f223e37373a3b1f66fd3acfce00bdd348ddc9ff;Southern;2;Jackson;US;MS;39213
