PK_TEMPO;invoice_date;Ano;Mes;Dia
597aa9133710c3fa30d23ea8f4ca99304a14e363528e3fbb7de73abb9f505856;02/06/2018;2018;06;02
187a006630bffaee15819c32bad4bed7bbf388a7acc312dd0f82893794311fc6;22/08/2018;2018;08;22
1fcf53d6230cf46f509864451a4cb1b8d14191d8a10715906a8b76bebf7c97ec;29/04/2018;2018;04;29
da139ea6843e3cfa65625d15b3473ab83cef4645f17c5e902c27fdf075d9ef02;08/04/2017;2017;04;08
cc9d179ae8d1c4284a251290fe74c8ab294e26c5edeca57cb6000ba2955d9a50;11/06/2017;2017;06;11
6193e3c600548d5c9de6e483aac40a381195b2032f896f9efce5e294736ff7b4;08/09/2017;2017;09;08
7b0ffc91feb23f093c999519bc549ebcd27722e7e1c6fdafb1fcc1396d65838e;17/11/2017;2017;11;17
934758c96f2e2a7f8c83e1657a08b72f31692180af9a348b96020c05dfe217c9;21/03/2019;2019;03;21
9e9685e63b7ce917b3af7d237dbc091693de874db860ce262beb76795cc98713;23/04/2017;2017;04;23
8ed115cc85140fac8b2828321ca6f600051f7b0df597cb610d0e9744317d853f;30/05/2018;2018;05;30
253fe5fbfce4d4f745eab2921103325fe172374f162356e7878653c5ab5ca324;27/12/2017;2017;12;27
65c7d38da0378b35c655beb55ba610b281a8c64d008bc667ace19e6349bb2332;25/05/2017;2017;05;25
91b9ccab408fee503b2f7f85a45d94e1ed3dd5a946e2c8ae721db4c9c46855e4;23/12/2018;2018;12;23
c425c2c59c09169147ddca7693c3446a82e6f958ce889d57d150a18b6f581190;27/11/2018;2018;11;27
28c3b5df6022baad91b49615a0848c3079decec266e9241c214aaf48fdc1d215;30/08/2017;2017;08;30
502b8b617b477f1c4d9d7bff62fc1e9f0d6bdc68c396f7bd26a934dfb94ae832;17/01/2019;2019;01;17
1fe1c81191eb2f15075bc1484f0534ba2325807449e017d8bf6f37a39784fa0c;24/01/2019;2019;01;24
949a6b115fbfd9d162dfe79adc8099c7891dfe7c5d9ce29eab5271ebea58c5bb;11/11/2017;2017;11;11
765884f4eaf5200328c7b0483d3db72521f02bc4e78b34147bb5aed763e5af74;05/05/2017;2017;05;05
03080c82c1d9469e8c0d78d54524e66fb8c3f55609c1d81d02f0aae04222cd81;18/02/2019;2019;02;18
a8847b48dd82387b813bdbff3ef75c7026bfee05a618bcb3c0b44acdc729c745;03/05/2017;2017;05;03
319aa2ce669229bb114a7fa5adf96631059b45236d4672e25a292ed6e3950a05;20/10/2018;2018;10;20
2be05ec5a7a6685e7ab9ce45f2b147c60d96e60be421ba15795f5f516b8e63df;12/03/2018;2018;03;12
2674f07d0e942f9052a7c6191e7d0dcf0533cf49c0951cbce8c5bd3af6c78abc;10/06/2018;2018;06;10
d968849e0d4efec05a00747e2c264c7752813a368d12371550b3af0cd29a515d;07/12/2017;2017;12;07
3f920071878a35da7f6553a5614718d2f4d11fa9aa2a8b0831e48d852cb5af6b;24/09/2017;2017;09;24
dba07068141018562d16315dfe613e290c1836613635919c161fc8f912366254;29/06/2017;2017;06;29
0c64eca05498039098e75fc7783e57fb83cbf9ed5b62c74ac2592c5768c80e4e;10/05/2017;2017;05;10
54cadb1ac12d9d5b347f5b90bb92c60f22efbef136a0f46825e1699a08807a25;15/01/2018;2018;01;15
